CUUADPANDORRAN PESETA                                                       2ADANDORRA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
CUUAEDUAE DIRHAM                                                            2AEUNITED ARAB EMIRATES                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
CUUAFAAFGHANI                                                               2AFAFGHANISTAN                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
CUUALLLEK                                                                   2ALALBANIA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
CUUAMDARMENIAN DRAM                                                         2AMARMENIA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
CUUANGNETHERLANDS ANTILLIAN GUILDER                                         2ANNETH. ANTILLES                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
CUUAOAKWANZA                                                                2AOANGOLA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
CUUARSARGENTINE PESO                                                        2ARARGENTINA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
CUUATSSCHILLING                                                             2ATAUSTRIA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
CUUAUDAUSTRALIAN DOLLAR                                                     2AUAUSTRALIA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
CUUAUDAUSTRALIAN DOLLAR                                                     2CCCOCOS (KEELING) ISLANDS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
CUUAUDAUSTRALIAN DOLLAR                                                     2CXCHRISTMAS ISLAND                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
CUUAUDAUSTRALIAN DOLLAR                                                     2HMHEARD AND MCDONALD ISLANDS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
CUUAUDAUSTRALIAN DOLLAR                                                     2KIKIRIBATI                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
CUUAUDAUSTRALIAN DOLLAR                                                     2NFNORFOLK ISLAND                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
CUUAUDAUSTRALIAN DOLLAR                                                     2NRNAURU                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
CUUAUDAUSTRALIAN DOLLAR                                                     2TVTUVALU                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
CUUAWGARUBAN GUILDER                                                        2AWARUBA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
CUUAZMAZERBAIJANIAN MANAT                                                   2AZAZERBAIJAN                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
CUUAZNAZERBAIJANIAN MANAT                                                   2AZAZERBAIJAN                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
CUUBAMCONVERTIBLE MARKS                                                     2BABOSNIA AND HERZEGOVINA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
CUUBBDBARBADOS DOLLAR                                                       2BBBARBADOS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
CUUBDTTAKA                                                                  2BDBANGLADESH                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
CUUBEFBELGIAN FRANC                                                         0BEBELGIUM                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
CUUBEFBELGIAN FRANC                                                         0LULUXEMBOURG                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
