MODIFICATION FLAG	RECORD KEY	INSTITUTION NAME	COUNTRY NAME	ISO COUNTRY CODE	IBAN ISO COUNTRY CODE	IBAN BIC	ROUTING BIC	IBAN NATIONAL ID	SERVICE CONTEXT	FIELD A	FIELD B
A	IB00000000H9	UNICREDIT BANK AUSTRIA AG	AUSTRIA	AT	AT	BKAUATWWXXX	BKAUATWWXXX	20151	SEPA		
A	IB00000000HB	UNICREDIT BANK AUSTRIA AG	AUSTRIA	AT	AT	BKAUATWWXXX	BKAUATWWXXX	12880	SEPA		
A	IB00000000HD	UNICREDIT BANK AUSTRIA AG	AUSTRIA	AT	AT	BKAUATWWXXX	BKAUATWWXXX	12760	SEPA		
A	IB00000000HE	UNICREDIT BANK AUSTRIA AG	AUSTRIA	AT	AT	BKAUATWWXXX	BKAUATWWXXX	11840	SEPA		
A	IB00000000HF	UNICREDIT BANK AUSTRIA AG	AUSTRIA	AT	AT	BKAUATWWXXX	BKAUATWWXXX	11850	SEPA		
A	IB00000000HG	UNICREDIT BANK AUSTRIA AG	AUSTRIA	AT	AT	BKAUATWWXXX	BKAUATWWXXX	11860	SEPA		
A	IB00000000HH	UNICREDIT BANK AUSTRIA AG	AUSTRIA	AT	AT	BKAUATWWXXX	BKAUATWWXXX	11000	SEPA		
A	IB00000000HJ	UNICREDIT BANK AUSTRIA AG	AUSTRIA	AT	AT	BKAUATWWXXX	BKAUATWWXXX	12850	SEPA		
A	IB00000000HM	UNICREDIT BANK AUSTRIA AG	AUSTRIA	AT	AT	BKAUATWWXXX	BKAUATWWXXX	12780	SEPA		
A	IB00000000HS	UNICREDIT BANK AUSTRIA AG	AUSTRIA	AT	AT	BKAUATWWXXX	BKAUATWWXXX	12000	SEPA		
A	IB00000000HT	UNICREDIT BANK AUSTRIA AG	AUSTRIA	AT	AT	BKAUATWWXXX	BKAUATWWXXX	11950	SEPA		
A	IB00000000HZ	UNICREDIT BANK AUSTRIA AG	AUSTRIA	AT	AT	BKAUATWWXXX	BKAUATWWXXX	11810	SEPA		
