MODIFICATION FLAG	RECORD KEY	GROUP KEY	ASSET CATEGORY	OWNER KEY	OWNER BIC	ISO CURRENCY CODE	CORRESPONDENT BIC	ACCOUNT NUMBER	PREFERRED	INTERMEDIARY 1 BIC	INTERMEDIARY 1 AC NUMBER	INTERMEDIARY 2 BIC	INTERMEDIARY 2 AC NUMBER	INSTITUTION NAME	CITY	CPS	COUNTRY NAME	ISO COUNTRY CODE	START DATE	STOP DATE	FIELD A	FIELD B
A	SI0000000683	SI0000000683	COPA	BD0000000HRS	BSCHARBAXXX	CAD	BOFMCAM2XXX	31691032467						BANCO SANTANDER RIO S.A.	BUENOS AIRES		ARGENTINA	AR				
A	SI0000000BCP	SI0000000BCP	COPA	BD0000000HRS	BSCHARBAXXX	CHF	UBSWCHZH80A	02300000070125050000C						BANCO SANTANDER RIO S.A.	BUENOS AIRES		ARGENTINA	AR				
A	SI0000000KKM	SI0000000KKM	COPA	BD0000000HRS	BSCHARBAXXX	DKK	DABADKKKXXX	3007510349						BANCO SANTANDER RIO S.A.	BUENOS AIRES		ARGENTINA	AR				
A	SI0000000PND	SI0000000PND	COPA	BD0000000HRS	BSCHARBAXXX	EUR	DEUTDEFFXXX	100950310300						BANCO SANTANDER RIO S.A.	BUENOS AIRES		ARGENTINA	AR				
A	SI0000000V52	SI0000000V52	COPA	BD0000000HRS	BSCHARBAXXX	EUR	BSCHESMMXXX	15503						BANCO SANTANDER RIO S.A.	BUENOS AIRES		ARGENTINA	AR				
A	SI0000000WW6	SI0000000WW6	COPA	BD0000000HRS	BSCHARBAXXX	EUR	UNCRITMMXXX	9952103						BANCO SANTANDER RIO S.A.	BUENOS AIRES		ARGENTINA	AR				
A	SI00000010O0	SI00000010O0	COPA	BD0000000HRS	BSCHARBAXXX	GBP	BARCGB22XXX	20325390182001						BANCO SANTANDER RIO S.A.	BUENOS AIRES		ARGENTINA	AR				
A	SI0000001GZM	SI0000001GZM	COPA	BD0000000HRS	BSCHARBAXXX	JPY	BOTKJPJTXXX	653-0407283						BANCO SANTANDER RIO S.A.	BUENOS AIRES		ARGENTINA	AR				
A	SI0000001S33	SI0000001S33	COPA	BD0000000HRS	BSCHARBAXXX	NOK	DNBANOKKXXX	70010203560						BANCO SANTANDER RIO S.A.	BUENOS AIRES		ARGENTINA	AR				
A	SI00000020ND	SI00000020ND	COPA	BD0000000HRS	BSCHARBAXXX	SEK	ESSESESSXXX	52018516485						BANCO SANTANDER RIO S.A.	BUENOS AIRES		ARGENTINA	AR				
A	SI00000029VA	SI00000029VA	COPA	BD0000000HRS	BSCHARBAXXX	USD	PNBPUS3NNYC	2000192005306						BANCO SANTANDER RIO S.A.	BUENOS AIRES		ARGENTINA	AR				
A	SI00000090HA	SI00000090HA	COPA	BD0000000HRS	BSCHARBAXXX	EUR	COBADEFFXXX	400870616000						BANCO SANTANDER RIO S.A.	BUENOS AIRES		ARGENTINA	AR				
A	SI00000090HG	SI00000090HG	COPA	BD0000000HRS	BSCHARBAXXX	USD	CHASUS33XXX	777145731						BANCO SANTANDER RIO S.A.	BUENOS AIRES		ARGENTINA	AR				
A	SI00000090HH	SI00000090HH	COPA	BD0000000HRS	BSCHARBAXXX	USD	SCBLUS33XXX	3544034620001						BANCO SANTANDER RIO S.A.	BUENOS AIRES		ARGENTINA	AR				
A	SI0000000BCV	SI0000000BCV	COPA	BD0000000HS3	BSCHBRSPXXX	CHF	CRESCHZZ80A	0835-0926429-83-010						BANCO SANTANDER (BRASIL) S.A.	SAO PAULO		BRAZIL	BR	20120329			
A	SI0000000KKR	SI0000000KKR	COPA	BD0000000HS3	BSCHBRSPXXX	DKK	NDEADKKKXXX	5000006214						BANCO SANTANDER (BRASIL) S.A.	SAO PAULO		BRAZIL	BR	20120329			
A	SI0000000PNE	SI0000000PNE	COPA	BD0000000HS3	BSCHBRSPXXX	EUR	COBADEDDXXX	6000767160201						BANCO SANTANDER (BRASIL) S.A.	SAO PAULO		BRAZIL	BR	20120329			
A	SI0000000V55	SI0000000V55	COPA	BD0000000HS3	BSCHBRSPXXX	EUR	BSCHESMMXXX	15439						BANCO SANTANDER (BRASIL) S.A.	SAO PAULO		BRAZIL	BR	20120329			
A	SI00000010O4	SI00000010O4	COPA	BD0000000HS3	BSCHBRSPXXX	GBP	RBOSGB2LXXX	10004797						BANCO SANTANDER (BRASIL) S.A.	SAO PAULO		BRAZIL	BR	20120329			
A	SI00000020NH	SI00000020NH	COPA	BD0000000HS3	BSCHBRSPXXX	SEK	ESSESESSXXX	52018571613						BANCO SANTANDER (BRASIL) S.A.	SAO PAULO		BRAZIL	BR	20120329			
A	SI00000029VF	SI00000029VF	COPA	BD0000000HS3	BSCHBRSPXXX	USD	BOFAUS3NXXX	6550721617						BANCO SANTANDER (BRASIL) S.A.	SAO PAULO		BRAZIL	BR	20120329			
A	SI00000029VG	SI00000029VG	COPA	BD0000000HS3	BSCHBRSPXXX	USD	SCBLUS33XXX	3544034644001						BANCO SANTANDER (BRASIL) S.A.	SAO PAULO		BRAZIL	BR	20120329			
A	SI000000COIE	SI000000COIE	COPA	BD0000000HS3	BSCHBRSPXXX	AUD	CTBAAU2SXXX	100071101AUD112601						BANCO SANTANDER (BRASIL) S.A.	SAO PAULO		BRAZIL	BR	20120329			
A	SI000000COIF	SI000000COIF	WHLS	BD0000000HS3	BSCHBRSPXXX	AUD	CTBAAU2SXXX	100071101AUD112601						BANCO SANTANDER (BRASIL) S.A.	SAO PAULO		BRAZIL	BR	20120329			
