0 Heartbeat 
1 TestRequest 
2 ResendRequest 
3 Reject 
4 SequenceReset 
5 Logout 
6 IndicationofInterest 
7 Advertisement 
8 ExecutionReport 
9 OrderCancelReject 
A Logon 
B News 
C Email 
D NewOrderSingle 
E NewOrderList 
F OrderCancelRequest 
G OrderCancelReplaceRequestakaOrderModificationRequest 
H OrderStatusRequest 
J Allocation 
K ListCancelRequest 
L ListExecute 
M ListStatusRequest 
N ListStatus 
P AllocationACK 
Q DontKnowTradeDK 
R QuoteRequest 
S Quote 
T SettlementInstructions 
V MarketDataRequest 
W MarketDataSnapshotFullRefresh 
X MarketDataIncrementalRefresh 
Y MarketDataRequestReject 
Z QuoteCancel 
a QuoteStatusRequest 
b QuoteAcknowledgement 
c SecurityDefinitionRequest 
d SecurityDefinition 
e SecurityStatusRequest 
f SecurityStatus 
g TradingSessionStatusRequest 
h TradingSessionStatus 
i MassQuote 
j BusinessMessageReject 
k BidRequest 
l BidResponse 
m ListStrikePrice
