0  Heartbeat
1  TestRequest
2  ResendRequest
3  Reject
4  SequenceReset
5  Logout
6  IOI
7  Advertisement
8  ExecutionReport
9  OrderCancelReject
A  Logon
AA  DerivativeSecurityList
AB  NewOrderMultileg
AC  MultilegOrderCancelReplaceRequest
AD  TradeCaptureReportRequest
AE  TradeCaptureReport
AF  OrderMassStatusRequest
AG  QuoteRequestReject
AH  RFQRequest
AI  QuoteStatusReport
B  News
C  Email
D  NewOrderSingle
E  NewOrderList
F  OrderCancelRequest
G  OrderCancelReplaceRequest
H  OrderStatusRequest
J  Allocation
K  ListCancelRequest
L  ListExecute
M  ListStatusRequest
N  ListStatus
P  AllocationAck
Q  DontKnowTradeDK
R  QuoteRequest
S  Quote
T  SettlementInstructions
V  MarketDataRequest
W  MarketDataSnapshotFullRefresh
X  MarketDataIncrementalRefresh
Y  MarketDataRequestReject
Z  QuoteCancel
a  QuoteStatusRequest
b  MassQuoteAcknowledgement
c  SecurityDefinitionRequest
d  SecurityDefinition
e  SecurityStatusRequest
f  SecurityStatus
g  TradingSessionStatusRequest
h  TradingSessionStatus
i  MassQuote
j  BusinessMessageReject
k  BidRequest
l  BidResponse
m  ListStrikePrice
n  XML_non_FIX
o  RegistrationInstructions
p  RegistrationInstructionsResponse
q  OrderMassCancelRequest
r  OrderMassCancelReport
s  NewOrderCross
t  CrossOrderCancelReplaceRequest
u  CrossOrderCancelRequest
v  SecurityTypeRequest
w  SecurityTypes
x  SecurityListRequest
y  SecurityList
z  DerivativeSecurityListRequest
